,business_id,avg_review_stars,review_count,fries_count,fries_pos_count,fries_neg_count,chips_count,chips_pos_count,chips_neg_count,onion_rings_count,onion_rings_pos_count,onion_rings_neg_count,nachos_count,nachos_pos_count,nachos_neg_count,wings_count,wings_pos_count,wings_neg_count,burger_count,burger_pos_count,burger_neg_count,monzarella_stick_count,monzarella_stick_pos_count,monzarella_stick_neg_count,quesadillas_count,quesadillas_pos_count,quesadillas_neg_count,cheese_count,cheese_pos_count,cheese_neg_count,sandwitch_count,sandwitch_pos_count,sandwitch_neg_count,pizza_count,pizza_pos_count,pizza_neg_count,taco_count,taco_pos_count,taco_neg_count,popcorn_count,popcorn_pos_count,popcorn_neg_count,bacon_count,bacon_pos_count,bacon_neg_count,slider_count,slider_pos_count,slider_neg_count,fried_count,fried_pos_count,fried_neg_count,shrimp_count,shrimp_pos_count,shrimp_neg_count,salads_count,salads_pos_count,salads_neg_count,dip_count,dip_pos_count,dip_neg_count,nugget_count,nugget_pos_count,nugget_neg_count,oysters_count,oysters_pos_count,oysters_neg_count,sauce_count,sauce_pos_count,sauce_neg_count,peanut_count,peanut_pos_count,peanut_neg_count,chicken_count,chicken_pos_count,chicken_neg_count,beer_count,beer_pos_count,beer_neg_count,wine_count,wine_pos_count,wine_neg_count,cocktail_count,cocktail_pos_count,cocktail_neg_count,spark_count,spark_pos_count,spark_neg_count,spirit_count,spirit_pos_count,spirit_neg_count,rum_count,rum_pos_count,rum_neg_count,whiskey_count,whiskey_pos_count,whiskey_neg_count,vodka_count,vodka_pos_count,vodka_neg_count,tequila_count,tequila_pos_count,tequila_neg_count,brandy_count,brandy_pos_count,brandy_neg_count,gin_count,gin_pos_count,gin_neg_count,negroni_count,negroni_pos_count,negroni_neg_count,daiquiri_count,daiquiri_pos_count,daiquiri_neg_count,manhattan_count,manhattan_pos_count,manhattan_neg_count,mojito_count,mojito_pos_count,mojito_neg_count,margarita_count,margarita_pos_count,margarita_neg_count,martini_count,martini_pos_count,martini_neg_count,waiter_count,waiter_pos_count,waiter_neg_count,waitress_count,waitress_pos_count,waitress_neg_count,park_count,park_pos_count,park_neg_count,wifi_count,wifi_pos_count,wifi_neg_count,restroom_count,restroom_pos_count,restroom_neg_count,manner_count,manner_pos_count,manner_neg_count,price_count,price_pos_count,price_neg_count,reservation_count,reservation_pos_count,reservation_neg_count,seat_count,seat_pos_count,seat_neg_count,booking_count,booking_pos_count,booking_neg_count,employee_count,employee_pos_count,employee_neg_count,music_count,music_pos_count,music_neg_count,band_count,band_pos_count,band_neg_count,light_count,light_pos_count,light_neg_count,environment_count,environment_pos_count,environment_neg_count,atomsphere_count,atomsphere_pos_count,atomsphere_neg_count
0,6xZIJU1xYyF4G6eXkO7yig,3.577777777777778,45,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,4,2,3,0,1,2,0,0,15,3,0,0,0,0,0,0,0,8,2,2,1,0,0,6,2,0,3,0,0,8,2,0,10,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,7,2,0,0,0,0,0,0,0,7,2,1,6,0,0,9,1,0,0,0,0,0,0,0
1,IQnLSNtdevr8LboYNgYn6g,4.1891891891891895,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,3,1,0,0,0,0,4,1,0,0,0,0,57,7,11,0,0,0,1,0,0,5,2,0,6,1,1,6,2,0,1,0,0,0,0,0
2,yWUBX9Pe6pzh1PjVj04UmQ,4.037735849056604,477,171,63,16,29,7,5,8,1,0,15,2,1,4,1,0,909,212,115,0,0,0,0,0,0,100,19,10,0,0,0,1,0,0,1,0,0,0,0,0,149,22,14,7,2,1,101,25,10,0,0,0,29,8,3,17,6,3,0,0,0,0,0,0,65,19,11,6,1,0,50,8,7,88,27,13,6,1,1,3,1,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,26,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,23,5,5,39,10,13,64,6,12,0,0,0,2,0,1,0,0,0,42,16,3,0,0,0,45,4,3,0,0,0,4,1,1,6,4,0,27,3,5,13,4,3,1,1,0,0,0,0
3,WCqcYtJ4rUxA4bIzjOfzqg,3.6175771971496435,421,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,6,1,0,0,0,204,38,11,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,28,3,2,37,5,1,5,0,0,0,0,0,0,0,0,78,8,6,0,0,0,44,3,3,6,0,2,18,4,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,31,2,5,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,10,1,2,2,0,1,9,0,1,0,0,0,5,0,1,2,0,0,86,35,3,2,0,1,61,13,2,0,0,0,16,2,2,19,8,2,19,3,4,26,2,2,5,1,2,0,0,0
4,zFnPRtP7LGvr3sfxvy_dfg,3.268867924528302,212,0,0,0,8,2,2,0,0,0,0,0,0,10,1,1,17,3,2,0,0,0,0,0,0,53,8,6,0,0,0,342,68,28,0,0,0,0,0,0,5,1,0,3,1,0,8,2,0,1,0,0,8,1,0,6,2,3,0,0,0,0,0,0,29,5,1,1,0,0,11,1,1,230,66,28,6,0,0,2,0,0,0,0,0,1,0,0,4,1,1,1,0,0,2,1,1,0,0,0,0,0,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,22,7,6,21,4,2,8,0,0,0,0,0,0,0,0,0,0,0,24,2,2,0,0,0,35,8,2,0,0,0,1,0,0,5,0,0,8,0,0,15,0,0,2,2,1,0,0,0
5,AubBjBnrHa9aIGX5YGix5A,4.333333333333333,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,33,12,3,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,15,3,1,0,0,0,0,0,0
6,VWMSLDPCvfqjw5DDHShQkA,3.5128205128205128,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,9,1,0,168,35,11,8,2,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,3,1,0,12,3,0,7,0,0,0,0,0,2,0,0,2,0,0,39,5,0,1,0,0,17,3,0,0,0,0,2,1,0,26,8,4,6,0,0,24,6,0,4,1,0,0,0,0
7,K3iw26MkmSBPAM7BzHkIYQ,3.9395973154362416,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,1,10,3,0,1,0,1,1,0,0,0,0,0,2,1,0,12,3,2,1,0,0,17,3,2,3,0,0,11,5,2,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,5,1,8,3,0,8,1,0,0,0,0,1,0,0,2,1,0,40,4,2,3,0,0,11,2,2,0,0,0,0,0,0,5,1,0,8,2,0,11,1,1,2,0,2,0,0,0
8,B1imfnKRvcotaYacPGUrLQ,4.234285714285714,175,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,63,22,10,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,74,17,4,13,2,1,8,5,1,1,0,0,0,0,0,2,2,0,21,6,0,5,0,0,86,23,5,7,1,3,44,14,8,14,6,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,13,3,1,24,6,4,8,1,1,0,0,0,2,0,0,0,0,0,42,15,4,25,2,0,19,2,4,0,0,0,1,0,0,1,0,0,17,4,2,36,11,1,3,0,1,0,0,0
9,qWSwDbtJRBvKTiMpH3rNLQ,3.796747967479675,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,34,4,1,30,5,3,1,0,0,5,2,2,0,0,0,0,0,0,66,13,9,12,2,0,86,13,3,10,3,2,14,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,13,3,0,8,2,1,0,0,0,0,0,0,0,0,0,48,12,1,14,1,2,29,2,2,0,0,0,0,0,0,5,1,0,20,2,1,33,6,2,2,1,0,0,0,0
